age	immune	type	scaled
13	0.00008740633939	ppo	0.0000214853488981086
13	0.001203607148	ppo	0.00029585862640526
19	0.0001106965535	ppo	0.0000272103155258981
19	0.000672750632	ppo	0.000165368806780126
26	0.0009860960554	ppo	0.000242392233162684
26	0.0002731927207	ppo	0.0000671534920879498
60	0.002453169455	ppo	0.000603013488663363
60	0.004182062679	ppo	0.00102799266505323
60	0.005461531372	ppo	0.001342498814895
60	0.002888078382	ppo	0.000709918435154762
30	0.0010417988	ppo	0.000256084522654105
30	0.001081535032	ppo	0.000265852084302086
40	0.0003711950798	ppo	0.0000912434481803351
40	NA	ppo	NA
46	0.0003403190684	ppo	0.0000836538170146708
46	0.0003926969785	ppo	0.000096528829066497
34	0.0003589926989	ppo	0.0000882439814041974
34	NA	ppo	NA
14	0.000136485109	ppo	0.0000335493993539429
14	0.0002550876732	ppo	0.0000627030910636183
36	0.0005868223945	ppo	0.000144246790050316
36	0.001007980821	ppo	0.000247771726546697
56	0.003735061324	ppo	0.000918115279303785
56	0.004647125608	ppo	0.00114230976560766
48	0.001077786327	ppo	0.000264930615271313
48	0.0004644908941	ppo	0.00011417648867783
13	0.0002744597531	ppo	0.0000674649412730912
13	0.0001430555263	ppo	0.0000351644733758257
31	0.001480168708	ppo	0.000363840212750987
31	0.0005097372114	ppo	0.000125298484179866
58	0.002307568206	ppo	0.000567223251289307
58	0.002931666195	ppo	0.000720632753779089
42	0.0007081401796	ppo	0.000174067910104195
44	0.0002537008357	ppo	0.0000623621925914888
32	0.0001807003108	ppo	0.0000444179363948839
32	0.0003689754414	ppo	0.000090697838951251
28	0.0003722241884	ppo	0.000091496413325419
28	0.0004161121162	ppo	0.000102284503157103
13	0.000200892026	ppo	0.0000493812611256857
13	0.0004241433818	ppo	0.000104258668242995
43	0.0005448162086	ppo	0.000133921251122146
51	0.001066310452	ppo	0.000262109730882299
42	0.0006607410749	ppo	0.000162416738014794
42	0.0008359024856	ppo	0.000205473157590751
44	0.001735699562	ppo	0.000426652242069878
48	0.003631907618	ppo	0.000892759070829546
13	0.000154481429	ppo	0.0000379730740757131
13	0.00009425613765	ppo	0.0000231690975429419
34	0.0004569230632	ppo	0.000112316240457585
34	0.0001528608554	ppo	0.0000375747209419008
35	0.001026525434	ppo	0.000252330177149549
35	0.0009464828566	ppo	0.000232654914300827
35	0.0000798	ppo	0.0000196156349074289
35	0.0007202699472	ppo	0.000177049527807873
38	0.001480072605	ppo	0.000363816589676281
38	NA	ppo	NA
48	0.001316019094	ppo	0.000323490602495105
44	0.001547835724	ppo	0.000380473439331578
48	0.003051659499	ppo	0.000750128303185106
60	0.003136584931	ppo	0.000771003820333823
8	NA	ppo	NA
17	0.001057665571	ppo	0.000259984733018713
33	0.0008825195905	ppo	0.00021693210633962
33	0.000878991588	ppo	0.000216064888181819
37	0.001093984231	ppo	0.000268912221425819
37	0.0008992422485	ppo	0.00022104270225453
28	0.00102080369	ppo	0.00025092371547865
16	0.0004221902306	ppo	0.000103778564222216
39	0.00006718911773	ppo	0.0000165157544253626
39	0.0004506790625	ppo	0.000110781402887498
70	0.0006760927798	ppo	0.000166190340001322
66	0.002976636369	ppo	0.000731686870507254
25	0.0004643788241	ppo	0.000114148940755473
25	0.001423605302	ppo	0.000349936364114186
46	0.004100965914	ppo	0.00100805827239141
46	0.0001963892776	ppo	0.0000482744407159813
56	0.003177417913	ppo	0.000781040974056801
56	0.003252366156	ppo	0.000799463998764085
57	0.004081857	ppo	0.00100336111098162
57	0.003746664044	ppo	0.000920967343457333
63	0.006021206779	ppo	0.001480072605
63	0.003808014861	ppo	0.000936047985406512
64	0.003535973443	ppo	0.000869177494990631
64	0.005322356445	ppo	0.00130828823148272
14	0.0002552880676	ppo	0.0000627523500033162
14	0.0002350901057	ppo	0.0000577874897714295
38	0.001246720899	ppo	0.000306456415867739
38	0.002775521018	ppo	0.000682250713871973
42	0.0000538	ppo	0.0000132245759150335
42	0.00009706501225	ppo	0.0000238595468995127
39	0.0004790820044	ppo	0.000117763128935209
39	0.0008028501885	ppo	0.00019734857372151
42	0.001187209072	ppo	0.000291827815979192
42	0.0003605336885	ppo	0.0000886227719980539
49	0.001713696287	ppo	0.000421243617894844
49	0.001427088342	ppo	0.000350792530041605
51	0.0002960183907	ppo	0.0000727642691460633
51	0.0002054744169	ppo	0.0000505076584552286
43	0.0002481292714	ppo	0.0000609926465868263
43	0.001443130627	ppo	0.000354735883495752
62	0.002005300073	ppo	0.000492922733230683
62	0.002925465107	ppo	0.000719108464578126
20	NA	ppo	NA
20	0.0004606598777	ppo	0.000113234786685013
22	0.0004110717106	ppo	0.000101045521251903
22	0.0004824311005	ppo	0.000118586370117759
45	0.0004941054366	ppo	0.000121456038222072
