id	pair	colony	nestid	task	rickia	lvl_inf	age	switch	plate	po	ppo	head_len	head_wid
1D.5.N	83	1	4	intranidal	0	0	44		4	NA	0.0002537008357	999.97	897.17
20A.1.F	21	20	1	forager	1	42.1	32	22	2	2.53E-05	0.0001807003108	978.57	841.55
20A.2.N	21	20	1	intranidal	1	42.1	32		2	NA	0.0003689754414	984.62	843.91
20A.9.F	28	20	1	forager	1	42.1	28	26	1	4.17E-05	0.0003722241884	1037.16	902.35
20A.6.N	28	20	1	intranidal	1	42.1	28		1	0.000109736451	0.0004161121162	970.9	786.84
20A.26.F	55	20	1	forager	0	42.1	13	12	1	NA	0.000200892026	900.22	775.31
20A.29.N	55	20	1	intranidal	0	42.1	13		1	NA	0.0004241433818	931.63	807.73
20A.13.F	65	20	1	forager	0	42.1	43	35	5	NA	0.0005448162086	1030.21	890.17
20A.3.N	65	20	1	intranidal	0	42.1	51		5	2.47E-05	0.001066310452	1013.02	880.76
20A.7.F	69	20	1	forager	0	42.1	42	27	3	0.0001432018245	0.0006607410749	1014.83	897.67
20A.12.N	69	20	1	intranidal	0	42.1	42		3	0.000218066314	0.0008359024856	1053.74	917.4
20A.18.F	110	20	1	forager	0	42.1	44	31	5	0.0005401009794	0.001735699562	945.45	853.13
20A.15.N.	110	20	1	intranidal	0	42.1	48		5	NA	0.003631907618	977.04	888.25
2A.22.F	1	2	1	forager	1	97.6	13	10	5	0.00005265864515	0.000154481429	1057.91	922.05
2A.23.N	1	2	1	intranidal	1	97.6	13		5	NA	0.00009425613765	1035.62	943.19
2A.9.F	20	2	1	forager	1	97.6	34	22	3	8.03E-06	0.0004569230632	1089.05	970.87
2A.15.N	20	2	1	intranidal	1	97.6	34		3	1.20E-05	0.0001528608554	1032.11	916.84
2A.16.F	23	2	1	forager	1	97.6	35	10	3	0.001035131145	0.001026525434	1046.15	938.38
2A.12.N	23	2	1	intranidal	1	97.6	35		3	NA	0.0009464828566	1052.9	913.06
2A.5.F	24	2	1	forager	1	97.6	35	27	3	1.27E-05	7.98E-05	1035.71	941.64
2A.13.N	24	2	1	intranidal	1	97.6	35		3	NA	0.0007202699472	1120.32	999.56
2A.10.F	29	2	1	forager	1	97.6	38	20	4	0.001480072605	0.001480072605	1072.96	952.96
2A.6.N	29	2	1	intranidal	1	97.6	38		4	NA	NA	1039.12	920.07
2A.7.F	52	2	1	forager	1	97.6	48	14	5	8.86E-05	0.001316019094	1065.48	936.19
2A.19.N	52	2	1	intranidal	1	97.6	44		5	0.0003194737826	0.001547835724	1126.19	995.54
2A.21.F	70	2	1	forager	1	97.6	48	28	5	0.00004014955776	0.003051659499	1049.68	978.41
2A.20.F	97	2	1	forager	1	97.6	60	30	5	0.0001570372753	0.003136584931	1065.74	878.84
3A.15.F	5	3	1	forager	0	0	8	7	1	5.18E-05	NA	1017.04	879.5
3A.7.N	5	3	1	intranidal	0	0	17		1	7.93E-05	0.001057665571	1123.4	986.46
3A.9.F	30	3	1	forager	0	0	33	14	2	7.81E-05	0.0008825195905	1128.45	983.95
3A.6.N	30	3	1	intranidal	0	0	33		2	6.06E-05	0.000878991588	1154.91	1025.11
3A.3.F	38	3	1	forager	0	0	37	28	3	0.000152945075	0.001093984231	1160.71	1085.85
3A.11.N	38	3	1	intranidal	0	0	37		3	0.00014565153	0.0008992422485	1125.53	969.37
4A.2.F	17	4	1	forager	1	14.7	28	22	4	4.07E-05	0.00102080369	1000.05	842.36
4A.15.N	17	4	1	intranidal	1	14.7	16		4	NA	0.0004221902306	959.19	855.37
4A.8.F	56	4	1	forager	1	14.7	39	36	4	NA	0.00006718911773	973.13	788.19
4A.10.N	56	4	1	intranidal	1	14.7	39		5	0.00005245909595	0.0004506790625	1028.49	853.98
4A.3.F	112	4	1	forager	1	14.7	70	64	3	NA	0.0006760927798	998.74	867.18
4A.7.N	112	4	1	intranidal	1	14.7	66		3	0.0003139142664	0.002976636369	977.35	867.36
4B.7.F	18	4	2	forager	1	14.7	25	23	4	4.10E-05	0.0004643788241	1060.91	877.93
4B.15.N	18	4	2	intranidal	1	14.7	25		4	NA	0.001423605302		
4B.9.F	67	4	2	forager	1	14.7	46	36	5	5.36E-05	0.004100965914	988.45	850.55
4B.10.N	67	4	2	intranidal	1	14.7	46		4	NA	0.0001963892776	1052.91	909.95
4B.1.F	90	4	2	forager	1	14.7	56	43	1	0.0002395006284	0.003177417913	1027.41	922.85
4B.16.N	90	4	2	intranidal	1	14.7	56		1	0.0002177088701	0.003252366156	1024.7	897.04
4B.8.F	94	4	2	forager	1	14.7	57	36	2	0.0003461607904	0.004081857	982.66	834.21
4B.2.N	94	4	2	intranidal	1	14.7	57		2	0.0005286804283	0.003746664044	1024.31	889.69
4B.12.F	105	4	2	forager	1	14.7	63	9	2	NA	0.006021206779	978.21	877.85
4B.18.N	105	4	2	intranidal	1	14.7	63		2	NA	0.003808014861	984.55	851.6
4B.4.F	107	4	2	forager	1	14.7	64	37	3	0.0003919050583	0.003535973443	1003.9	842.5
4B.3.N	107	4	2	intranidal	1	14.7	64		3	0.0002312368449	0.005322356445	1010.09	866.87
5A.8.F	2	5	1	forager	1	7.6	14	12	1	NA	0.0002552880676	1114.3	974.52
5A.4.N	2	5	1	intranidal	1	7.6	14		1	NA	0.0002350901057	1171.86	1028.32
5A.2.F	47	5	1	forager	1	7.6	38	12	4	3.07E-05	0.001246720899	1208.64	1061.94
5A.4.N	47	5	1	intranidal	1	7.6	38		4	5.64E-05	0.002775521018	1136.97	1052.83
6A.4.F	41	6	1	forager	1	6.5	42	39	4	3.93E-05	5.38E-05	908.47	792.96
6A.1.N	41	6	1	intranidal	1	6.5	42		4	1.37E-04	0.00009706501225	884.56	777.55
6A.12.F	44	6	1	forager	1	6.5	39	35	4	0.0001198326503	0.0004790820044	996.95	862.82
6A.15.N	44	6	1	intranidal	1	6.5	39		4	NA	0.0008028501885	1051	943.72
6A.17.F	50	6	1	forager	1	6.5	42	39	5	0.00003173435979	0.001187209072	977.03	860.26
6A.7.N	50	6	1	intranidal	1	6.5	42		5	NA	0.0003605336885	983.31	853.08
6A.9.F	74	6	1	forager	1	6.5	49	42	5	0.0001494924336	0.001713696287	982.63	836.54
6A.14.N	74	6	1	intranidal	1	6.5	49		5	0.000637931388	0.001427088342	919.19	811.83
6A.15.F	78	6	1	forager	1	6.5	51	47	1	0.00008862434897	0.0002960183907	943.75	822.25
6A.6.N	78	6	1	intranidal	1	6.5	51		1	NA	0.0002054744169	1066.78	973.03
9A.9.F	51	9	1	forager	0	0	43	40	3	NA	0.0002481292714	1090.63	939.06
9A.23.N	51	9	1	intranidal	0	0	43		3	0.0003175303477	0.001443130627	1060.73	930
9A.18.F	101	9	1	forager	0	0	62	30	3	0.0001860475905	0.002005300073	1046	917.58
9A.16.N	101	9	1	intranidal	0	0	62		3	0.0004414137786	0.002925465107	1060.95	934.19
9B.2.F	7	9	2	forager	0	0	20	13	2	3.07E-05	NA	1016.43	806.58
9B.5.N	7	9	2	intranidal	0	0	20		2	0.0001058037214	0.0004606598777	1104.05	967.71
9B.1.F	12	9	2	forager	0	0	22	15	3	NA	0.0004110717106	1059.28	945.69
9B.3.N	12	9	2	intranidal	0	0	22		3	4.22E-05	0.0004824311005	1077.43	953.96
9B.10.F	58	9	2	forager	0	0	45	40	4	3.50E-05	0.0004941054366	982.36	853.74
9B.19.N	58	9	2	intranidal	0	0	45		4	NA	0.001428977065	1059.27	963.06
9B.6.F	66	9	2	forager	0	0	48	37	4	NA	0.00026692341	1022.62	852.24
9B.8.N	66	9	2	intranidal	0	0	48		4	8.38E-05	0.0007459156979		
9B.9.F	72	9	2	forager	0	0	50	39	5	0.001061594041	0.0001131814743	998.87	871.72
9B.7.N	72	9	2	intranidal	0	0	50		5	0.00007856671862	0.001226667131	1077.89	945.51
9B.16.F	73	9	2	forager	0	0	50	19	5	0.00006209552509	0.0007213538605	1028.61	899.31
9B.20.N	73	9	2	intranidal	0	0	50		5	NA	0.0009207151983	1073.3	922.07
9B.21.F	106	9	2	forager	0	0	64	43	4	0.0001603126378	0.003360772712	1113.76	1006.59
9B.23.N	106	9	2	intranidal	0	0	64		4	0.0005449761986	0.003132655851	1072.85	966.32
9C.24.F	8	9	3	forager	0	0	20	19	2	0.00003043012932	0.0004912192076	1029.44	905.34
9C.23.N	8	9	3	intranidal	0	0	20		2	7.03E-05	0.0004937426905	1101.76	934.52
9C.3.F	82	9	3	forager	0	0	52	47	1	NA	0.00040275567	1046.41	931.86
9C.8.N	82	9	3	intranidal	0	0	52		1	0.0002024130302	0.001907435578	1083.55	963.06
9D.2.F	14	9	4	forager	0	0	23	13	3	0.0001674650436	0.0003711510523	1005.19	879.67
9D.17.N	14	9	4	intranidal	0	0	23		3	1.03E-04	0.001226876936	1093.02	925.28
9D.12.F	22	9	4	forager	0	0	30	17	1	5.81E-05	0.0005459893696	1112.9	984.86
9D.15.N	22	9	4	intranidal	0	0	30		1	0.00009319224565	0.001222962542	1029.44	889.44
9D.3.F	31	9	4	forager	0	0	36	24	2	NA	0.0002597633527	1042.43	923.86
9D.7.N	31	9	4	intranidal	0	0	36		2	3.56E-05	0.001440677689	992.82	901.81
9D.20.F	35	9	4	forager	0	0	37	26	2	NA	NA	1059.43	893.69
9D.18.N	35	9	4	intranidal	0	0	37		2	NA	0.0001190501027	1063.06	888.16
9D.5.F	57	9	4	forager	0	0	44	30	4	0.0001217315116	0.001277484558	1058.39	893.32
9D.23.N	57	9	4	intranidal	0	0	44		4	3.84E-05	0.0007610906718	1010.32	906.42
9D.13.F	85	9	4	forager	0	0	54	34	1	0.0002103643897	0.00254692149	1031	891.72
9D.11.N	85	9	4	intranidal	0	0	54		1	0.000321865631	0.003100273287	1067.68	937.71
9D.6.F	86	9	4	forager	0	0	54	51	1	2.13E-04	0.00461902931	1088.94	951.66
9D.1.N	86	9	4	intranidal	0	0	54		1	6.37E-04	0.003148193029	1025.75	935.76
9D.19.F	95	9	4	forager	0	0	58	54	2	0.0002060880414	0.005858213431	1077.85	991.06
9D.8.N	95	9	4	intranidal	0	0	58		2	NA	NA	1050.25	948.01
